Country,YearsProgram,DeveloperType,HaveWorkedLanguage,Salary
Greece,3 to 4 years,Embedded applications/devices developer; Graphics programming,Assembly; C; C++,16129.0322580645
United States,6 to 7 years,Web developer; Embedded applications/devices developer; Graphic designer; Database administrator; Quality assurance engineer,C#; Java; JavaScript; PHP; Python; SQL,NA
Sweden,12 to 13 years,Desktop applications developer,Java; JavaScript,NA
Sweden,20 or more years,NA,JavaScript,NA
Germany,14 to 15 years,Other,Scala,59139.7849462366
Jamaica,13 to 14 years,NA,NA,NA
Croatia,8 to 9 years,Quality assurance engineer,C; C++; C#; F#; Java,NA
Mexico,14 to 15 years,Web developer; Mobile developer; Embedded applications/devices developer; Developer with a statistics or mathematics background; Desktop applications developer; Database administrator,C#; JavaScript; Python; SQL,11483.2535885167
United States,4 to 5 years,NA,Python; R; SQL,NA
Serbia,20 or more years,Mobile developer,Java; Objective-C; Python; Rust; SQL; Swift,43010.752688172
Australia,11 to 12 years,NA,C#; SQL,NA
Canada,14 to 15 years,NA,Python; SQL,NA
Malaysia,1 to 2 years,Web developer,Ruby; Scala; SQL,10762.331838565
Germany,20 or more years,Web developer; Data scientist; Desktop applications developer; Database administrator,Java; JavaScript; SQL,NA
Ukraine,12 to 13 years,Web developer; Developer with a statistics or mathematics background,Java,NA
United States,8 to 9 years,NA,Assembly; C; Java; JavaScript; PHP; Python; SQL,NA
Canada,12 to 13 years,Web developer; Data scientist; Desktop applications developer,JavaScript; PHP; SQL,71969.696969697
Spain,2 to 3 years,NA,Java; SQL; VB.NET,NA
United Kingdom,20 or more years,Web developer,C#; JavaScript; SQL,NA
Russian Federation,20 or more years,Desktop applications developer,C++; SQL,1871.34502923977
India,4 to 5 years,Web developer,C#; JavaScript; SQL,4507.414476582
United States,14 to 15 years,Web developer,Java; JavaScript; SQL,86e3
Germany,20 or more years,NA,R; SQL,NA
United States,2 to 3 years,Web developer,C#; JavaScript; Swift,NA
United States,5 to 6 years,NA,C; C++; Java; JavaScript; Julia; Python; SQL; Swift,NA
Argentina,5 to 6 years,Web developer,JavaScript; PHP; TypeScript,24375
Israel,14 to 15 years,Embedded applications/devices developer; Data scientist,C; C++; C#; Matlab; Python,NA
Germany,20 or more years,Web developer; Mobile developer; Desktop applications developer; DevOps specialist,C#; JavaScript; SQL; TypeScript,38709.6774193548
United Kingdom,5 to 6 years,Web developer; Mobile developer,Java; JavaScript; PHP; SQL,25e3
Sweden,7 to 8 years,Web developer; Mobile developer; Desktop applications developer,C; C#; Java; JavaScript,48054.2986425339
Serbia,14 to 15 years,Web developer,C#; JavaScript; Ruby; SQL,NA
United Kingdom,4 to 5 years,Mobile developer,Java; JavaScript; Objective-C; PHP; Python; SQL,5e4
India,9 to 10 years,Web developer,C#; JavaScript; SQL,NA
United States,20 or more years,Web developer,Go; Java; JavaScript; Perl; Ruby; SQL,NA
Australia,6 to 7 years,Web developer; Desktop applications developer; Database administrator,C#; Java; SQL; VB.NET,NA
Canada,11 to 12 years,NA,Julia; R; SQL,NA
United States,3 to 4 years,NA,JavaScript,NA
Hong Kong,8 to 9 years,Other,Assembly; C; C#; Java; JavaScript; PHP; Python; Ruby; SQL; TypeScript; VBA,50451.0309278351
United Kingdom,9 to 10 years,Web developer,Go; Haskell; JavaScript; TypeScript,47500
United States,3 to 4 years,Web developer,NA,NA
France,5 to 6 years,Other,C; C++; JavaScript; Lua; Python,NA
United States,1 to 2 years,Web developer,JavaScript; Ruby,NA
United Kingdom,20 or more years,Web developer,C#; JavaScript; SQL,NA
Canada,5 to 6 years,Web developer,JavaScript,56818.1818181818
United States,17 to 18 years,Web developer; Mobile developer,C#; JavaScript; Objective-C; SQL; TypeScript,91e3
United States,8 to 9 years,Web developer; Graphic designer; Systems administrator,C; C#; Java; JavaScript; PHP; Python,NA
Italy,17 to 18 years,Web developer; Mobile developer,JavaScript; PHP; SQL,17204.3010752688
Poland,15 to 16 years,Data scientist,PHP; Python; VBA,22222.2222222222
United States,20 or more years,Other,C#; Java; SQL,NA
Germany,14 to 15 years,Embedded applications/devices developer,C; C++; Java; Swift,48387.0967741935
Australia,20 or more years,Web developer,C#; JavaScript; SQL,NA
United States,20 or more years,Web developer,Java,NA
New Zealand,2 to 3 years,Web developer,C#; Java; JavaScript; Python,NA
United Kingdom,2 to 3 years,Web developer,Java; JavaScript; Python,31250
United Kingdom,3 to 4 years,Web developer,JavaScript; Python; Ruby; Rust,40625
United States,6 to 7 years,Desktop applications developer,C#; JavaScript; Objective-C; Python; SQL; VB.NET,NA
United Kingdom,20 or more years,NA,Assembly; C; C#; Python; VB.NET; VBA,NA
Colombia,7 to 8 years,Mobile developer,Java; JavaScript,NA
United States,5 to 6 years,Web developer,C#; JavaScript; SQL,NA
India,7 to 8 years,Web developer,PHP,NA
Germany,8 to 9 years,NA,C#; Java; JavaScript; PHP,NA
Canada,18 to 19 years,Web developer,Groovy; Java; JavaScript; Python,56818.1818181818
United States,19 to 20 years,Developer with a statistics or mathematics background; Desktop applications developer,C#; SQL,11e4
Ireland,20 or more years,Web developer; Mobile developer; Desktop applications developer; Database administrator; Quality assurance engineer,Clojure; Java; JavaScript; Objective-C; PHP; Python; SQL; Swift,NA
Estonia,4 to 5 years,NA,C#; JavaScript,NA
United States,4 to 5 years,NA,C#; Java; Matlab; Python; R; SQL; Swift,NA
India,6 to 7 years,Web developer; Desktop applications developer,C#; Java; JavaScript; SQL,NA
Australia,2 to 3 years,NA,R,NA
United States,5 to 6 years,Desktop applications developer,Java,73e3
Greece,14 to 15 years,Web developer; Mobile developer; Desktop applications developer,C#; Java; JavaScript; Objective-C; SQL,23655.9139784946
France,4 to 5 years,NA,Java; JavaScript; PHP; SQL,NA
United States,20 or more years,Web developer; Mobile developer; Desktop applications developer,C#; Java; JavaScript; SQL; TypeScript,NA
United States,19 to 20 years,Web developer,C#; JavaScript; SQL,11e4
United States,10 to 11 years,Web developer; Desktop applications developer; Database administrator,C; C#; Java; Objective-C; Python; SQL,46111
Poland,7 to 8 years,Web developer; Mobile developer; Graphic designer,CoffeeScript; JavaScript,17777.7777777778
United States,10 to 11 years,Web developer; Systems administrator; DevOps specialist,Java; Python,65e3
United States,4 to 5 years,NA,Python; SQL; VBA,NA
Belgium,15 to 16 years,Web developer; Desktop applications developer,Java; JavaScript; Python; Swift,107526.88172043
Brazil,10 to 11 years,Developer with a statistics or mathematics background; Data scientist; Desktop applications developer; Database administrator,C++; C#; F#; Java; JavaScript; Perl; Ruby; SQL; VB.NET; Visual Basic 6,NA
United States,7 to 8 years,NA,Assembly; C; C++; Java; JavaScript; PHP; Python,NA
Denmark,11 to 12 years,Web developer; Desktop applications developer,C#; JavaScript; SQL; TypeScript,58119.6581196581
Canada,20 or more years,NA,Go; Groovy; Python; Ruby,NA
Iran,7 to 8 years,Web developer; Embedded applications/devices developer; Data scientist; Graphic designer; Database administrator; Systems administrator,Java; JavaScript; SQL,13891.4613817374
United States,4 to 5 years,Mobile developer,C++; JavaScript; Objective-C; Python; Swift,NA
United States,20 or more years,Web developer; Developer with a statistics or mathematics background; Data scientist; Desktop applications developer,C#; JavaScript; SQL,12e4
Germany,9 to 10 years,Web developer,JavaScript; PHP; SQL,41290.3225806452
United States,3 to 4 years,Web developer,JavaScript; Python; Ruby,117e3
India,5 to 6 years,Other,Assembly; C; Java; JavaScript; Matlab; Python; SQL,NA
Slovenia,8 to 9 years,Web developer; DevOps specialist,C#; Java; JavaScript; PHP; R; SQL; VB.NET; VBA,30107.5268817204
Switzerland,19 to 20 years,Desktop applications developer; Other,Groovy; Java; SQL,11e4
United States,8 to 9 years,Web developer; Desktop applications developer; Other,C#; SQL; TypeScript,115e3
United Kingdom,20 or more years,NA,TypeScript,NA
India,7 to 8 years,Web developer,Java; JavaScript,NA
Ireland,9 to 10 years,Systems administrator; DevOps specialist,Clojure; Go; Java; Perl; Python; Rust; Scala; SQL,90322.5806451613
Sweden,10 to 11 years,Web developer; Mobile developer,Java; JavaScript,47511.3122171946
United States,9 to 10 years,NA,Python; R,NA
Poland,3 to 4 years,Web developer,C++; Go; Groovy; Java; JavaScript; Python; TypeScript,NA
United States,20 or more years,NA,R,NA
South Africa,9 to 10 years,Mobile developer,C; Java; Objective-C; PHP,NA
United States,14 to 15 years,Developer with a statistics or mathematics background; Data scientist; Systems administrator,C; C++; SQL,NA
Spain,14 to 15 years,Web developer; Desktop applications developer,Java; JavaScript; Python,NA
Ukraine,16 to 17 years,Mobile developer; Machine learning specialist; Desktop applications developer,C#,NA
Poland,8 to 9 years,Web developer; Mobile developer; DevOps specialist,Elixir; Erlang; Go; JavaScript; PHP; SQL,10864.1975308642
Australia,9 to 10 years,Web developer; Mobile developer; Graphic designer,C#; Java; JavaScript; Perl; Python; SQL,54090.9090909091
United States,20 or more years,Web developer,C#; JavaScript,85e3
Israel,16 to 17 years,Web developer,C#; JavaScript; Objective-C; SQL,5390.83557951482
United States,8 to 9 years,Web developer; Desktop applications developer,Java; JavaScript,NA
United States,20 or more years,Developer with a statistics or mathematics background,SQL,NA
United States,20 or more years,Web developer,C#; JavaScript,105e3
Germany,5 to 6 years,Web developer; Desktop applications developer,C++; Java; JavaScript; SQL,NA
Canada,3 to 4 years,Web developer,C#; JavaScript; SQL,NA
United States,17 to 18 years,Web developer; Mobile developer; Data scientist; Desktop applications developer; Database administrator; DevOps specialist; Quality assurance engineer,C#; Java; JavaScript; Objective-C; SQL,89600
United Kingdom,17 to 18 years,Web developer,Java; JavaScript,68750
United States,1 to 2 years,NA,JavaScript; Ruby,NA
United Kingdom,20 or more years,NA,JavaScript; SQL; VBA,NA
Brazil,8 to 9 years,Web developer; Desktop applications developer,C; C++; Java; JavaScript,NA
Sweden,20 or more years,Embedded applications/devices developer,C; C++; C#; Python,NA
United States,20 or more years,Web developer; Mobile developer; Desktop applications developer,C#; JavaScript; SQL; TypeScript,12e4
United States,20 or more years,Web developer; Mobile developer; Graphics programming; Graphic designer; Database administrator,JavaScript; Objective-C; PHP; SQL,14e4
Singapore,8 to 9 years,Web developer,C#; Java; JavaScript; PHP; SQL,NA
United States,12 to 13 years,Web developer,C#; JavaScript,82e3
United States,16 to 17 years,Web developer; Mobile developer,C#; JavaScript; SQL; TypeScript; VB.NET; VBA,1e5
Germany,13 to 14 years,Desktop applications developer,Lua,53763.4408602151
United States,20 or more years,NA,NA,NA
United States,12 to 13 years,Web developer; Mobile developer; Graphics programming; Graphic designer; Desktop applications developer; Database administrator; Systems administrator,C++; JavaScript; PHP; Python; Swift,15e3
United States,13 to 14 years,Web developer; Embedded applications/devices developer; Developer with a statistics or mathematics background; Data scientist; Desktop applications developer,Java; Python,81e3
Slovenia,7 to 8 years,Web developer,PHP; SQL,48387.0967741935
Germany,4 to 5 years,Web developer; Mobile developer; Database administrator,Java; PHP; SQL; TypeScript,NA
Australia,13 to 14 years,Web developer,Java; JavaScript,113636.363636364
Philippines,12 to 13 years,Web developer,JavaScript; PHP; SQL,28605.4827175209
Indonesia,6 to 7 years,Web developer,C#; Java; JavaScript; PHP; Ruby; SQL,NA
Poland,7 to 8 years,Web developer; Desktop applications developer,C#; F#,29629.6296296296
Poland,12 to 13 years,Web developer,JavaScript; PHP; SQL,NA
Germany,9 to 10 years,Web developer; Desktop applications developer; Database administrator; DevOps specialist,Java; JavaScript; PHP; SQL,NA
United States,6 to 7 years,Web developer,Java; JavaScript; SQL; TypeScript,76e3
Bulgaria,5 to 6 years,Web developer,Elixir; JavaScript; Ruby,NA
United States,7 to 8 years,Web developer; Graphic designer,JavaScript; PHP,112e3
Switzerland,14 to 15 years,Web developer; Embedded applications/devices developer; Developer with a statistics or mathematics background,C++; Python,NA
United States,11 to 12 years,Mobile developer,Objective-C,92e3
United States,18 to 19 years,Web developer,JavaScript; Python,NA
Germany,9 to 10 years,NA,Assembly; C; Java; JavaScript; Perl; PHP; SQL,NA
Belgium,11 to 12 years,Embedded applications/devices developer,C; Python,56989.247311828
France,8 to 9 years,Web developer,Java; JavaScript; PHP; Python; Scala; SQL,34408.6021505376
Finland,20 or more years,Web developer; Mobile developer,CoffeeScript; JavaScript; PHP; SQL,45161.2903225806
United States,7 to 8 years,Web developer; Mobile developer,Go; Groovy; Java; JavaScript,81500
Denmark,15 to 16 years,NA,C++; Matlab; R,NA
United States,20 or more years,Web developer,Ruby; Scala,NA
Sri Lanka,4 to 5 years,Web developer,Java; JavaScript,NA
Belgium,9 to 10 years,Web developer; Mobile developer; Desktop applications developer; DevOps specialist,C#; JavaScript; SQL; VB.NET,NA
Chile,20 or more years,Web developer,Java; JavaScript; Perl; PHP; Python; Ruby; SQL,NA
United States,20 or more years,Embedded applications/devices developer,C; Python,NA
United States,19 to 20 years,Web developer; Mobile developer; Developer with a statistics or mathematics background,Java; JavaScript; Python; TypeScript,122e3
United States,12 to 13 years,Web developer; Data scientist,C++; Java; JavaScript; Lua; Python,7e4
United States,7 to 8 years,NA,Java; JavaScript; Objective-C; Python; Ruby; SQL; Swift; VBA,NA
France,7 to 8 years,Web developer,Java; SQL,NA
India,5 to 6 years,Desktop applications developer; Other,C#,NA
United States,9 to 10 years,Web developer,Java; JavaScript,77500
Canada,2 to 3 years,Web developer,C++; C#; Dart; Groovy; Java; JavaScript; Ruby; SQL,34090.9090909091
Canada,20 or more years,Mobile developer,Java,NA
United States,14 to 15 years,Web developer; Machine learning specialist; Graphic designer; DevOps specialist,NA,NA
Australia,16 to 17 years,Web developer; Mobile developer; Systems administrator,NA,75757.5757575758
Canada,20 or more years,Web developer; Database administrator,Java; JavaScript; SQL,NA
Lithuania,10 to 11 years,Web developer,C#; Python,47311.8279569892
Albania,3 to 4 years,Web developer; Database administrator,CoffeeScript; JavaScript; PHP,NA
